Views,Rating,Rating Count,Log Transformed Views,Log Transformed Rating Count,Rating * Log TRC
67800000,6,2683,7.831,3.429,20.574
29900000,4.7,14971,7.476,4.175,19.623
29500000,7,72157,7.47,4.858,34.006
27300000,6.3,270232,7.436,5.432,34.222
22300000,6,29764,7.348,4.474,26.844
20800000,7.1,36407,7.318,4.561,32.383
19600000,6.5,8320,7.292,3.92,25.48
17800000,6.7,200239,7.25,5.302,35.523
17700000,6.5,172136,7.248,5.236,34.034
17700000,6.5,172166,7.248,5.236,34.034
17200000,7.1,155,7.236,2.19,15.549
17000000,6.4,128044,7.23,5.107,32.685
16300000,4.9,368,7.212,2.566,12.573
15700000,7.2,26608,7.196,4.425,31.86
15600000,6.7,32797,7.193,4.516,30.257
13900000,6.1,174852,7.143,5.243,31.982
13000000,5.2,49569,7.114,4.695,24.414
12900000,5,53299,7.111,4.727,23.635
12800000,6.9,126227,7.107,5.101,35.197
12700000,6.2,88002,7.104,4.944,30.653
12100000,6.6,162921,7.083,5.212,34.399
11900000,6.6,18809,7.076,4.274,28.208
11700000,5,26092,7.068,4.417,22.085
11700000,5,26101,7.068,4.417,22.085
11500000,6.1,64848,7.061,4.812,29.353
11100000,8.1,146975,7.045,5.167,41.853
10900000,6.6,336633,7.037,5.527,36.478
10900000,5.8,43867,7.037,4.642,26.924
10900000,6.3,11438,7.037,4.058,25.565
10800000,5.9,83980,7.033,4.924,29.052
10800000,6.3,22398,7.033,4.35,27.405
10700000,6.1,62931,7.029,4.799,29.274
10700000,6.7,193255,7.029,5.286,35.416
10200000,6,127206,7.009,5.105,30.63
10100000,6,28116,7.004,4.449,26.694
9800000,7.3,1515,6.991,3.18,23.214
9600000,6.4,75902,6.982,4.88,31.232
9500000,5.9,880,6.978,2.944,17.37
9300000,6.2,53157,6.968,4.726,29.301
8800000,4.5,22251,6.944,4.347,19.562
8700000,6.3,50967,6.94,4.707,29.654
8600000,7.2,525424,6.934,5.721,41.191
8600000,5.8,19687,6.934,4.294,24.905
8300000,7.8,382523,6.919,5.583,43.547
8300000,5.7,39860,6.919,4.601,26.226
8000000,6.1,11632,6.903,4.066,24.803
7900000,8.1,547,6.898,2.738,22.178
7900000,8.1,548,6.898,2.739,22.186
7900000,2.7,5495,6.898,3.74,10.098
7800000,4.8,50801,6.892,4.706,22.589
7700000,6.6,37606,6.886,4.575,30.195
7700000,6.3,19030,6.886,4.279,26.958
7600000,5.7,171262,6.881,5.234,29.834
7600000,2.6,19357,6.881,4.287,11.146
7400000,7.3,110391,6.869,5.043,36.814
7300000,5.5,31856,6.863,4.503,24.767
7300000,4.4,24843,6.863,4.395,19.338
7300000,6.1,2122,6.863,3.327,20.295
7300000,5.6,217,6.863,2.336,13.082
7100000,6.5,61698,6.851,4.79,31.135
7100000,5.7,31821,6.851,4.503,25.667
7100000,6,88089,6.851,4.945,29.67
7100000,6,18459,6.851,4.266,25.596
6900000,6.9,91163,6.839,4.96,34.224
6800000,5.4,11579,6.833,4.064,21.946
6800000,7.4,19766,6.833,4.296,31.79
6400000,5.5,36521,6.806,4.563,25.097
6400000,7.1,107709,6.806,5.032,35.727
6300000,5.2,17071,6.799,4.232,22.006
6300000,6.8,3764,6.799,3.576,24.317
6200000,4.7,16962,6.792,4.229,19.876
6200000,6.2,61030,6.792,4.786,29.673
6200000,4.9,21862,6.792,4.34,21.266
6200000,5,3567,6.792,3.552,17.76
6100000,5.3,10805,6.785,4.034,21.38
6100000,5.6,23932,6.785,4.379,24.522
6100000,5.4,6844,6.785,3.835,20.709
6000000,5.7,25625,6.778,4.409,25.131
5800000,6.1,48309,6.763,4.684,28.572
5800000,6.6,169720,6.763,5.23,34.518
5800000,5.2,6511,6.763,3.814,19.833
5700000,5.7,11805,6.756,4.072,23.21
5700000,6,38979,6.756,4.591,27.546
5700000,5.2,9262,6.756,3.967,20.628
5600000,6.3,14313,6.748,4.156,26.183
5600000,6.6,151,6.748,2.179,14.381
5500000,7.3,243473,6.74,5.386,39.318
5500000,5.4,42472,6.74,4.628,24.991
5400000,6.3,188766,6.732,5.276,33.239
5400000,5.9,3955,6.732,3.597,21.222
5200000,6.1,15348,6.716,4.186,25.535
5100000,7.8,116,6.708,2.064,16.099
5100000,5.2,23890,6.708,4.378,22.766
5000000,6.3,121907,6.699,5.086,32.042
4800000,5.9,6139,6.681,3.788,22.349
4800000,5.5,17998,6.681,4.255,23.403
4800000,6.6,37,6.681,1.568,10.349
4700000,6.4,13457,6.672,4.129,26.426
4700000,6.4,13527,6.672,4.131,26.438
4700000,5.3,31421,6.672,4.497,23.834
4700000,5.7,46845,6.672,4.671,26.625
4600000,4.7,4644,6.663,3.667,17.235
4600000,5.8,39725,6.663,4.599,26.674
4600000,6.4,74728,6.663,4.873,31.187
4600000,5.6,20178,6.663,4.305,24.108
4600000,6.1,41,6.663,1.613,9.839
4600000,5.2,592,6.663,2.772,14.414
4500000,7.1,7959,6.653,3.901,27.697
4500000,6.1,13574,6.653,4.133,25.211
4500000,6.3,92479,6.653,4.966,31.286
4500000,5.8,967,6.653,2.985,17.313
4400000,7,57,6.643,1.756,12.292
4400000,6.1,16230,6.643,4.21,25.681
4400000,6.1,16247,6.643,4.211,25.687
4400000,4.4,8687,6.643,3.939,17.332
4400000,5.7,10178,6.643,4.008,22.846
4400000,5.8,39275,6.643,4.594,26.645
4300000,7.3,127673,6.633,5.106,37.274
4300000,4.8,49602,6.633,4.695,22.536
4300000,5.8,9930,6.633,3.997,23.183
4300000,5.3,15996,6.633,4.204,22.281
4300000,7.2,28220,6.633,4.451,32.047
4300000,6.9,3395,6.633,3.531,24.364
4100000,5.2,22189,6.613,4.346,22.599
4100000,6.3,59604,6.613,4.775,30.083
4100000,6.1,21978,6.613,4.342,26.486
4100000,6,64,6.613,1.806,10.836
4000000,5.3,7048,6.602,3.848,20.394
4000000,5.3,7054,6.602,3.848,20.394
4000000,6.6,17664,6.602,4.247,28.03
4000000,5.6,10604,6.602,4.025,22.54
4000000,5.1,187,6.602,2.272,11.587
3900000,7.3,146391,6.591,5.166,37.712
3900000,4.5,41955,6.591,4.623,20.804
3900000,5.5,2476,6.591,3.394,18.667
3900000,5.2,24220,6.591,4.384,22.797
3900000,4.4,21867,6.591,4.34,19.096
3900000,4.3,6019,6.591,3.78,16.254
3800000,6.2,26027,6.58,4.415,27.373
3800000,6.3,23637,6.58,4.374,27.556
3800000,6.5,53464,6.58,4.728,30.732
3800000,5.4,56339,6.58,4.751,25.655
3800000,6.2,3716,6.58,3.57,22.134
3800000,5.8,11578,6.58,4.064,23.571
3800000,5.8,53157,6.58,4.726,27.411
3800000,4.7,5122,6.58,3.709,17.432
3800000,4.7,5132,6.58,3.71,17.437
3700000,5.8,15613,6.568,4.193,24.319
3700000,5.2,2055,6.568,3.313,17.228
3600000,6.5,11266,6.556,4.052,26.338
3600000,6.2,1300,6.556,3.114,19.307
3500000,6.6,4970,6.544,3.696,24.394
3500000,7.2,16008,6.544,4.204,30.269
3500000,6.4,49438,6.544,4.694,30.042
3400000,3.7,11605,6.531,4.065,15.041
3400000,6.4,18518,6.531,4.268,27.315
3400000,4.8,2365,6.531,3.374,16.195
3400000,4.8,16059,6.531,4.206,20.189
3400000,7,3008,6.531,3.478,24.346
3400000,5.4,336,6.531,2.526,13.64
3300000,6.6,29469,6.519,4.469,29.495
3300000,5.6,18285,6.519,4.262,23.867
3300000,6.2,63582,6.519,4.803,29.779
3300000,6.3,6947,6.519,3.842,24.205
3300000,5.3,17192,6.519,4.235,22.446
3300000,5.4,69,6.519,1.839,9.931
3200000,7.6,87,6.505,1.94,14.744
3200000,5.9,3010,6.505,3.479,20.526
3200000,4.3,7747,6.505,3.889,16.723
3200000,5.3,2519,6.505,3.401,18.025
3100000,7.4,277507,6.491,5.443,40.278
3100000,6.6,42606,6.491,4.629,30.551
3100000,4.1,12120,6.491,4.084,16.744
3100000,6.3,5019,6.491,3.701,23.316
3100000,5.7,8918,6.491,3.95,22.515
3000000,5.6,83059,6.477,4.919,27.546
3000000,5.7,5955,6.477,3.775,21.518
3000000,4.5,6084,6.477,3.784,17.028
3000000,7.5,653,6.477,2.815,21.113
3000000,6,117,6.477,2.068,12.408
3000000,6.6,477,6.477,2.679,17.681
2900000,6.8,34106,6.462,4.533,30.824
2900000,6.9,71960,6.462,4.857,33.513
2900000,6.3,43750,6.462,4.641,29.238
2900000,5.4,4238,6.462,3.627,19.586
